,sigma_Cl,sigma_H,sigma_N,sigma_O,epsilon_Cl,epsilon_H,epsilon_N,epsilon_O
19,0.522470065306589,0.972972159585779,0.695521813744816,0.536415891164088,0.944876254433721,0.387762088270881,0.571116830078891,0.0537959627209886
41229,0.612856517560775,0.836909529107741,0.516688510371685,0.596012202953171,0.915205890523049,0.0557598140955434,0.116926345669188,0.936518679998929
27024,0.0693176553948445,0.85075387735811,0.142776027908317,0.818383710411583,0.452595724609833,0.903832176400739,0.277811195886188,0.19023733520319
393,0.376025307452857,0.973510277969768,0.440648000399543,0.517017925175587,0.0541948406138634,0.870718240458419,0.124749205687578,0.89020230083189
245,0.229354731858022,0.965198538376832,0.185978149846339,0.614594670519701,0.809401429025246,0.768555602412701,0.836751203276454,0.827432017272495
728,0.136425819857182,0.956323754845069,0.299511700520967,0.558875552735399,0.650878742051119,0.656696893779833,0.619663368438799,0.997973565003274
3179,0.46999255487656,0.785224930350936,0.477531682955286,0.513494114530745,0.598696422330028,0.237075165328313,0.947387120078547,0.966876436425695
2721,0.425953428178996,0.885945036101126,0.0195488881085001,0.695552484355549,0.530095051582918,0.893113578969778,0.204618808481827,0.544528801272367
2548,0.328836438274295,0.919990916637107,0.338133049321774,0.626200261732054,0.650873755442273,0.00139160206309259,0.326298163326057,0.92683711311019
5687,0.498764366059825,0.790550575170186,0.0777638183435861,0.763810213597886,0.857474800162397,0.114474078606089,0.935614461922297,0.427324928090879
1335,0.784625514972951,0.794725403062875,0.54242669236702,0.413099409455144,0.286104866717407,0.929579365025522,0.920986335239792,0.876380900306776
5995,0.712366781398323,0.868736335267319,0.597342050025282,0.422098524943141,0.791275170555641,0.241308453575883,0.537773622540152,0.968553824377621
450,0.15445372112389,0.974301261010352,0.512709545650981,0.569554674141045,0.617237868169921,0.819196782454739,0.150810451704156,0.754669179887906
1384,0.256504125234935,0.93154953645879,0.066651744434971,0.660716660458949,0.68370256021042,0.997206572360396,0.543509091036586,0.760176393240598
2761,0.718390972062835,0.818619436976727,0.127616911577144,0.642248084043252,0.0905863744274893,0.789351694164377,0.152318550739707,0.935903188071079
1896,0.298978062883948,0.92759747576564,0.0800696605714972,0.753443081764958,0.942585380537236,0.724878117968151,0.129620072014096,0.309136538575216
477,0.179149066736682,0.921015442167042,0.147231684065685,0.708563678427606,0.979687844017452,0.959413128638077,0.260020927870653,0.527323151453286
483,0.377156442957058,0.97913915274977,0.184709727594996,0.599492451548394,0.0169797774131865,0.729417045336062,0.980323141225037,0.514071467961434
3356,0.195075389233859,0.926238377977776,0.639421983300005,0.553199670757095,0.191828070165298,0.973812481299605,0.0172923232987339,0.747892771104176
304,0.583015407708148,0.968877691384643,0.52168898344293,0.52393854662161,0.274981703214959,0.597222703844365,0.0334769551610664,0.799621096909435
5072,0.923512156222677,0.634728778421699,0.178694040477198,0.594270826618261,0.0269640736881974,0.619378088637108,0.800451058276711,0.985426426730733
4036,0.465951589762565,0.732816661093668,0.515011662375027,0.542962988102116,0.582159642595536,0.873150648231862,0.945673240667382,0.461885805994619
4109,0.376787774228263,0.978347583982032,0.232394111811777,0.566585697582936,0.284353762623248,0.759808438035759,0.573520190275704,0.952172103029925
2295,0.463214527770447,0.957090635321576,0.2551894584628,0.576860209778133,0.512234895952663,0.529356839682245,0.391829998237018,0.908007302544394
9736,0.645309600887986,0.964529466127744,0.559572851803067,0.383490573690535,0.331739415120227,0.119895571689254,0.973498537126009,0.926902195697913
5805,0.706440045143275,0.765458518084255,0.592097186737898,0.532896331047384,0.503119342948891,0.496605920212334,0.268778754110433,0.546982181207212
918,0.312952570783572,0.99029662928834,0.144647019740495,0.639044231532099,0.500521476357829,0.618277027116802,0.604821012550131,0.500932590059858
2502,0.676143910421344,0.807001053635586,0.649706324472938,0.415269423680486,0.295509468296009,0.418703082574163,0.590042891177365,0.920578174452459
4947,0.357858441252304,0.975699994000123,0.306131907697841,0.641468141482536,0.802075787869698,0.870149337206495,0.123779288458748,0.479077409818104
871,0.404532747353385,0.736339896124821,0.240572837977724,0.653431874556349,0.845308972007711,0.229017711023056,0.916362917485829,0.864880331357291
10231,0.5311486910115,0.685454900267627,0.545183092450441,0.725312666869115,0.931689593349282,0.918860709086353,0.0263658376050973,0.316432738022176
1103,0.419032835116993,0.984592686549769,0.284210857671471,0.548070847111398,0.920749318689342,0.675673931183815,0.30332440291397,0.989336587360662
1845,0.529863198727175,0.965878487005444,0.173789391719644,0.584913933996202,0.098131991173205,0.622492717516272,0.66887235163589,0.728234935288711
118,0.0371983117846359,0.93843797512828,0.210868469362169,0.616871853925467,0.162458052838919,0.683936406127062,0.830031883222104,0.880033145586778
375,0.0829717705526988,0.993556738135942,0.500074268744134,0.634391723440583,0.986540330782349,0.990539392004544,0.10726604041065,0.482040663518137
620,0.202107188527226,0.950665309385906,0.0560786381226168,0.795765373278188,0.641914117254875,0.930784608345032,0.749310989530831,0.154989447416117
5499,0.557824107797634,0.709225906276425,0.329495227506185,0.683581462691222,0.789268609194339,0.695740235391122,0.693068445985661,0.278093745886741
5244,0.835341467509671,0.759258003327951,0.451509662952323,0.476879635885831,0.260841992157328,0.602841203064408,0.742619925630716,0.994767748723319
13095,0.503062625076061,0.87028876214001,0.587753633989596,0.515248783379551,0.898360331776161,0.0639034225357547,0.332281237068035,0.976586268728983
9397,0.41571546808456,0.901061681000424,0.637816033356657,0.561349105523357,0.672015677149853,0.905968070531111,0.0332732005424544,0.845353274222641
2810,0.95598779972991,0.644962212174533,0.412014680507091,0.53813510114551,0.114715583604364,0.74282487965619,0.0840537376058592,0.972830657641043
3662,0.190727909333285,0.796132556710758,0.563667567804061,0.534003974679186,0.681114055776128,0.539793417617659,0.963760871760822,0.444603614705191
11289,0.706364996715751,0.676075230317454,0.451115086434462,0.550897921477014,0.799005030648895,0.60197242218897,0.680374201708467,0.872531869171206
6575,0.334573455305429,0.76247119700797,0.731886767303446,0.453801264533163,0.0949432851598475,0.484272205389663,0.252851268812487,0.87506931440955
3661,0.532491741147415,0.737698943222099,0.271381235599904,0.734850248112265,0.305519245821657,0.534256889597446,0.39329803078137,0.336429641441695
3171,0.105426454371317,0.703498187668923,0.432915276451481,0.62647626760406,0.9821150616613,0.839574259767265,0.929990341131266,0.580519791040931
3128,0.590656018749862,0.747725760558376,0.119287957243334,0.766608781453365,0.349893705327508,0.398742753041553,0.752990602330062,0.367753657281658
17323,0.520601921478646,0.917734243881198,0.702386008593003,0.43633428777839,0.451817256971258,0.567458830443993,0.860122753444785,0.140519262109437
9079,0.861324729740463,0.999440323424485,0.47954145952916,0.50221761284692,0.245937033458321,0.088289143970466,0.593278523801186,0.480115806291926
2349,0.861420473680382,0.822311496909236,0.613581043612668,0.360631717047899,0.17667894996103,0.51071907876172,0.902458699842084,0.838325888313878
2215,0.865476777726823,0.801960228704165,0.647469059607097,0.377870353166984,0.223948231627277,0.802928378296157,0.504158775257327,0.881587934331987
512,0.100505927217786,0.996641830958274,0.130590742892576,0.758494878236212,0.252266540494162,0.951358556976045,0.993169581422852,0.102960033115883
11208,0.511330088098352,0.750247878685368,0.124438868730118,0.78672982566782,0.663751786470293,0.336163039324583,0.463683673449236,0.294290909516016
1457,0.342557925900732,0.949827739614389,0.635666599706195,0.66459692930736,0.640220494445693,0.765118602188589,0.0153797068412871,0.299117011142849
1718,0.403826760228725,0.975701296124055,0.107489398464455,0.721503655126953,0.329748468321034,0.814289062349207,0.620279789142699,0.194272457105338
11374,0.238904282677809,0.703473307678291,0.523411909176264,0.515406836232605,0.494326837810725,0.674809988290335,0.922709020922429,0.902704100129993
14820,0.413431780177765,0.649195848815085,0.209568883254549,0.690463236070117,0.985137412075553,0.908365971261582,0.933376536546209,0.503166792111507
2351,0.162343485168401,0.924983471712929,0.138250944539946,0.685037057982357,0.241033816978197,0.771254842187407,0.924499309134056,0.426609418521093
12436,0.868541648273609,0.841295348673479,0.185303587818087,0.576700332558128,0.131430668749404,0.122542058976835,0.689020947429106,0.956039090606389
3274,0.00508823537840769,0.899620206321681,0.329592735586935,0.59446150211807,0.921721451089031,0.856293063165211,0.484616176170734,0.839134568611417
3262,0.773373187485444,0.662015775209131,0.453551454101032,0.627489500810211,0.366549872333654,0.918271354633751,0.201078482295663,0.506091551820804
894,0.279850488539546,0.958477117351392,0.100119501206274,0.636331876408128,0.134111805167405,0.990029778470122,0.653279840172458,0.583971274608092
8082,0.680935537345783,0.706642454270879,0.349313061670199,0.588367340487674,0.656371303409049,0.478710916162795,0.877042577696628,0.486300309909637
1952,0.626709676443132,0.6708246026405,0.537245930089231,0.68853362186072,0.578753321263594,0.678109428518637,0.0293029406240436,0.404520471130466
2536,0.169601380620569,0.917935758459493,0.0938759303867404,0.693596551967066,0.907939908294261,0.62339092394548,0.537482031465411,0.655239449447125
4243,0.591546972172426,0.908021034967612,0.0155128946094161,0.61912924628901,0.301683879389387,0.836675492085901,0.513146332345953,0.847613573965825
5853,0.0345188894249401,0.896883378879767,0.190997011904884,0.821524296177518,0.868204100185791,0.990420196985742,0.570546510284734,0.157888321974548
7752,0.595618486185753,0.958658367358646,0.439046911152573,0.6871330477529,0.71287555578067,0.0059692477671067,0.0930152013110824,0.346103757225727
258,0.227371832559656,0.907604030154802,0.659267855469815,0.555454004467626,0.78967060220252,0.396091559124977,0.698569361047261,0.190229105050718
13050,0.378141546333158,0.975312970643637,0.214745294618479,0.583782060741107,0.48265501547649,0.454792600604357,0.985883197348056,0.839989782980176
4125,0.379083879793863,0.960594799281222,0.436639041191108,0.611211033917988,0.2513853670619,0.681590677128619,0.154762792368881,0.518363478469032
16017,0.0729147235714325,0.992594315841156,0.229815785439137,0.627857876828618,0.76627091157558,0.922583861527894,0.769303552420819,0.439074055442583
2969,0.506086778977813,0.719533963100567,0.425401348825662,0.598573913021274,0.626676387723007,0.388151450936767,0.450626989607577,0.970896300088869
